CODE,NAME,COMMON NAME,OWNERSHIP,TYPE,STATUS,ZONE,DISTRICT,DATE OPENED,LATITUDE,LONGITUDE
MC010001,Facility Name,Facility Common Name,Mission/Faith-based (other than CHAM),Clinic,Functional,Centrals West Zone,Mchinji,Jan 1st 75,,
MC010002,A + A private clinic,A+A,Private,Clinic,Functional,Centrals West Zone,Mchinji,Jan 1st 75,-13.797421,33.885631
BT240003,A-C Opticals,A.C Opticals,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.8,35.03
MZ160004,A-C Opticals,A-C Opticals,Mission/Faith-based (other than CHAM),Clinic,Non-functional,North Zone,Mzimba,Jan 1st 75,,
BT240005,Akwezeke PVT Clinic,Akwezeke Pvt,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.84,35.09
BT240006,AB Medical Clinic,Abowa,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.84000,35.09000
LL040007,African Bible College Community Hospital,ABC Clinic,Christian Health Association of Malawi (CHAM),Hospital,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.96816,33.74129
LL040008,AC Opticals Lilongwe Shopping Mall,AC Opticals Lilongwe Shopping,Private,Dispensary,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,,
LL040009,AC Opticals Old Town Mall,AC Opticals Old Town,Private,Dispensary,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,,
LL040010,Achikondi Women Community Friendly Services Clinic,Achikondi,Private,Dispensary,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.95473,33.7793
LL040011,Lilongwe Adventist Hospital,Adventist Health Centre,Christian Health Association of Malawi (CHAM),Hospital,Functional,Centrals West Zone,Lilongwe,Jan 1st 83,-13.95473,33.7793
LL040012,Adventist Health Centre Area 15,Adventist,Christian Health Association of Malawi (CHAM),Health Centre,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.95473,33.7793
LL040013,Africa Leaf Clinic Kanengo,Africa Leaf Clinic Kanengo,Private,Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.8898,33.80487
ZA230014,MAIMED Health Services,AHI,Private,Clinic,Functional,South West Zone,Zomba,Aug 1st 18,-15.38361,35.3223
ZA230015,Airwing Dispensary,Airwing,Government,Clinic,Functional,South West Zone,Zomba,Jan 1st 75,-15.38876,35.38508
LL040016,Airwing Dispensary,Airwing,Government,Dispensary,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.96162,33.69679
NT120017,Akalole pvt clinic,Akalole Clinic,Mission/Faith-based (other than CHAM),Clinic,Non-functional,Centrals West Zone,Ntcheu,Jan 1st 75,-14.511149,34.460536
CR260018,Akasale Private Clinic,Akasale,Private,Hospital,Functional,South East Zone,Chiradzulu,Jan 1st 75,-15.7594487,35.1148531
NK100019,Alinafe Community Hospital,Alinafe,Christian Health Association of Malawi (CHAM),Hospital,Functional,Central East Zone,Nkhotakota,Jan 1st 75,-13.38789,34.24292
MC190020,Alinafe Private,Alinafe,Private,Clinic,Non-functional,South West Zone,Machinga,Jan 1st 75,-14.79853,35.44326
MG200021,Alinafe private clinic,Alinafe Private Clinic,Private,Clinic,Functional,South West Zone,Mangochi,Jan 1st 75,-14.4790606,35.2574859
MC010022,Alinafe Private Clinic,Alinafe Private Clinic,Private,Clinic,Functional,Centrals West Zone,Mchinji,Jan 1st 75,-13.83069,33.04117
LL040023,Alliance One Clinic,Alliance one Clinic,Private,Clinic,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.89571,33.80108
CK270024,Alumenda Estate Clinic,Alumenda Estate Clinic,Mission/Faith-based (other than CHAM),Clinic,Non-functional,South East Zone,Chikwawa,Jan 1st 75,-15.3947344,34.653817
CK270025,Alumenda Health Centre,Alumenda,Private,Health Centre,Functional,South East Zone,Chikwawa,Jan 1st 75,-16.403467,34.885647
TH310026,Amalika Dispensary,Amalika,Government,Dispensary,Functional,South East Zone,Thyolo,Jan 1st 75,-15.99203,35.03183
SA090027,Amazing Private Clinic,Amazing,Private,Clinic,Non-functional,Central East Zone,Salima,Jan 1st 75,-13.330111,34. 6162227
BT240028,AMECA (Chilaweni),AMECA (Chilaweni),Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.703336,35.04442
BT240029,Amitofo Health care centre,Amitofo,Non-Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,,
KU070030,Anchor Farm,Anchor Farm,Government,Health Centre,Functional,Central East Zone,Kasungu,May 26th 16,-13.41,33.39
KU070031,Anchor Farm Health centre,Anchor Health Centre,Government,Health Centre,Functional,Central East Zone,Kasungu,Jan 1st 75,-13.414103,33.39074
BT240032,Aquid Lifeline Project,Aquid Lifeline Clinic,Non-Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.62217,35.05604
LL040033,Area 18 Health Centre,Area 18,Government,Health Centre,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.94131,33.78051
LL040034,Area 18 Medi Clinic,Area 18 Medi clinic,Private,Clinic,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.94454,33.77083
LL040035,Area 24 Private Clinic,Area 24 Private Clinic,Private,Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.0205,33.79967
LL040036,Area 25 BLM,Banja la mtsogolo,Non-Government,Unclassified,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.89488,33.76206
LL040037,Area 25 Urban Health Centre,Area 25,Government,Health Centre,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.89272,33.77465
LL040038,Area 30 Police Clinic,Area 30 clinic,Other,Clinic,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.9279,33.78419
LL040039,Area 36 Living Waters Clinic,Area 36 Living Waters,Private,Dispensary,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.0119727,33.7787036
LK180040,ARMY,Army,Other,Dispensary,Non-functional,North Zone,Likoma,Jan 1st 75,-12.08098,34.731191
BT240041,Arthur Garden,Chitekwe,Private,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,-15.84000,35.0900
SA090042,Asante Private Clinic,Asante Private Clinic,Private,Clinic,Functional,Central East Zone,Salima,Jan 1st 75,-13.77065,34.44174
NT080043,Asimec Clinic,Asimec,Private,Clinic,Functional,Central East Zone,Ntchisi,Jan 1st 75,-13.3587,33.91619
KB050044,Asitevita,Chakunyanja,Private,Clinic,Functional,North Zone,Nkhata Bay,Jan 1st 16,-11.61000,34.30000
MG200045,Assalam Clinic,As-slam clinic,Other,Clinic,Functional,South West Zone,Mangochi,Jan 1st 75,-14.54537,35.19221
KA150046,Atupele Community Hospital,Atupele,Christian Health Association of Malawi (CHAM),Hospital,Functional,North Zone,Karonga,Dec 8th 07,-9.73682,33.83744
MG200047,Atupele Pvt Clinic,Atupele Pvt Clinic,Private,Dispensary,Functional,South West Zone,Mangochi,Jan 1st 75,,
BT240048,Auction Holdings,Auction Holdings Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.81195,35.06417
MZ160049,Auction Holdings Clinic,Auction,Private,Clinic,Non-functional,North Zone,Mzimba,Jan 1st 75,-11.46341,34.02053
LL040050,Auction Holdings Clinic,Auction Holdings Clinic,Parastatal,Dispensary,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.89089,33.79952
BT240051,Ayali Private Clinic,Ayali Private Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.6600,35.0200
BK170052,Balaka Blm Clinic,Balaka Banja La Mtsogolo clinic,Non-Government,Clinic,Functional,South West Zone,Balaka,Jan 1st 75,-14.98876,34.95557
BK170053,Balaka District Hospital,Balaka District Hospital,Government,District Hospital,Functional,South West Zone,Balaka,Jan 1st 75,-14.98498,34.94959
BK170054,Balaka Dream Clinic,Dream Clinic,Christian Health Association of Malawi (CHAM),Clinic,Functional,South West Zone,Balaka,Jan 1st 09,-15.00322,34.95248
BK170055,Balaka Private Clinic,Balaka Private Clinic,Private,Clinic,Functional,South West Zone,Balaka,Jan 1st 10,-14.98339,34.9617
MG200056,Bamusi Post,Bamusi Post,Government,Health Post,Functional,South West Zone,Mangochi,Jan 1st 75,,
LL040057,"Banda, Boniface An. N., Maziko",Maziko,Mission/Faith-based (other than CHAM),Clinic,Non-functional,Centrals West Zone,Lilongwe,Jan 1st 75,-14.00507,33.81629
BT240058,Bangwe BLM,Bangwe BLM,Non-Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,,
BT240059,Bangwe Health Centre,Bangwe,Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,-15.823832,35.080477
KB050060,Banja La Mstogolo (BLM) Nkhata,BLM,Private,Clinic,Closed,North Zone,Nkhata Bay,Jan 1st 75,-11.60907,34.29899
BT240061,Banja Care Clinic,Banja Care Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-16.01,35.49
CP060062,Banja La Mtsogolo Clinic,Banja la Mtsogolo,Non-Government,Clinic,Functional,North Zone,Chitipa,Dec 31st 74,-15.3890539 ,35.320048
BT240063,Banzi,Banzi,Private,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,,
SA090064,Baptist Medical Clinic,Baptist health centre,Christian Health Association of Malawi (CHAM),Health Centre,Functional,Central East Zone,Salima,Jan 1st 75,-13.73887,34.59749
NT120065,Bayani,Bayani,Government,Health Post,Functional,Centrals West Zone,Ntcheu,Jan 1st 75,-15.1729008,34.6966684
LL040066,Baylor Childrens Centre Of Excellence In Malawi,Baylor,Non-Government,Clinic,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.977985,33.786847
DE030067,BB Medical Private Clinic,BB Clinic,Mission/Faith-based (other than CHAM),Clinic,Non-functional,Centrals West Zone,Dedza,Jan 1st 75,-14.3874968,34.3291278
BT240068,Beit Cure International,Beit Cure,Non-Government,Hospital,Functional,South East Zone,Blantyre,Jan 1st 75,-15.80354,35.01753
CK270069,Bereu Health Centre,Bereu,Government,Dispensary,Functional,South East Zone,Chikwawa,Jan 1st 75,-16.15199,34.85376
CK270070,Bello,Bello,Private,Dispensary,Functional,South East Zone,Chikwawa,Jan 1st 75,-16.26044,34.86844
BT240071,Belton Kapyepye Memorial Clini,Belton Kapyepye Memorial Clini,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.80869,34.99434
DE030072,Bembeke Health Centre,Bembeke,Christian Health Association of Malawi (CHAM),Health Centre,Functional,Centrals West Zone,Dedza,Dec 31st 74,-14.35825,34.42432
NK100073,Benga Health Centre,Chipatala cha boma,Government,Health Centre,Functional,Central East Zone,Nkhotakota,Jan 1st 75,-13.36846,34.27404
BT240074,Bernald Kachale Pvt Clinic,Kachale,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.78018,35.07352
TH310075,Bethesda,Bethesda,Private,Clinic,Non-functional,South East Zone,Thyolo,Jan 1st 75,-16.01,35.31
NK100076,Bethsaida,Bethsaida,Private,Clinic,Functional,Central East Zone,Nkhotakota,Jan 1st 75,-12.846881,34.245704
LL040077,Bethsaida Hospital,Bethsaida,Private,Hospital,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.93387,33.79202
BT240078,"Bhuptani, Girishkumar C.",BKM PVT Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.78826,35.00554
CR260079,Bilal Islamic Clinic,Bilal islamic,Private,Hospital,Functional,South East Zone,Chiradzulu,Dec 31st 74,-15.7414865,35.1304713
NT120080,Bilira Health Centre,Bilila,Government,Health Centre,Functional,Centrals West Zone,Ntcheu,Jan 1st 75,-14.82489,34.85134
NT120081,Biliwiri Health Cnetre,Biliwiri,Government,Health Centre,Functional,Centrals West Zone,Ntcheu,Oct 1st 95,-14.817,34.638306
MG200082,Billy Riordan Memorial Dispensary,Billy Riordan clinic,Non-Government,Clinic,Functional,South West Zone,Mangochi,Jan 1st 75,-14.0319916,34.8402186
ZA230083,Bimbi Health Centre,Bimbi,Government,Health Centre,Functional,South West Zone,Zomba,Jan 1st 75,-15.30876,35.4794
BT240084,Blantyre Adventist Hospital,Blantyre Adventist Hospital,Private,Hospital,Functional,South East Zone,Blantyre,Jan 1st 75,-15.7824,35.0031
BT240085,Blantyre Civic Centre,City assembly,Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.8,35.04
BT240086,Blantyre DHO Pharmarcy,Blantyre DHO Pharmarcy,Government,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,,
BT240087,Blantyre Dream Project (Mandala),Blantyre Dream Project (Mandala),Non-Government,Health Centre,Functional,South East Zone,Blantyre,Jan 1st 75,-15.79182,35.01273
BT240088,Blantyre Medicare CityCentre Clinic City Centre Clinic Makadam Pvt Clinic,Blantyre Medicare CityCentre Clinic City Centre Clinic Makadam Pvt Clinic,Private,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.786933,35.007778
BT240089,Blantyre Water Board - Mudi,Blantyre Water Board - Mudi,Other,Clinic,Functional,South East Zone,Blantyre,Jan 1st 75,-15.7953,35.03811
BT240090,Blantyre Water Board - Walkers,Waterboard Clinic-Mudi,Private,Unclassified,Functional,South East Zone,Blantyre,Jan 1st 75,-15,33
LL040091,Blessings Hospital,Blessings,Mission/Faith-based (other than CHAM),Hospital,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.79099,33.81707
SA090092,Bliss Private Clinic,Bliss,Private,Dispensary,Functional,Central East Zone,Salima,Jan 1st 75,-13.78929,34.46206
TH310093,BLM Bvumbwe Clinic,Banja la mtsogolo,Non-Government,Clinic,Functional,South East Zone,Thyolo,Jan 1st 75,-15.93133,35.08213
LL040094,BLM Falls Estate Clinic,Banja la mtsogolo,Non-Government,Clinic,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.99646,33.77897
LL040095,BLM Kawale 1 Clinic,Kawale Banja la mtsogolo,Non-Government,Clinic,Functional,Centrals West Zone,Lilongwe,Jan 1st 75,-13.9915,33.79514
